1392,1400,480,1200,15
2132,2174,540,1320,30
224,1552,600,1020,10
1748,1126,480,1440,20
2615,352,0,1440,5
2296,2426,660,1260,15
1135,87,480,1140,25
2958,2843,540,1380,10
976,1584,0,1440,30
2667,2513,600,1200,20
466,2405,480,1020,15
2599,278,720,1320,10
845,108,540,1140,5
2072,199,480,1440,15
1068,2141,0,1440,20
1677,2294,600,1260,30
2646,1683,480,1140,10
2107,2692,540,1380,15
2002,2493,660,1200,20
1984,1394,480,1020,10
2141,82,720,1440,5
2743,99,540,1320,15
2813,1955,480,1140,25
2243,997,0,1440,10
2464,2635,600,1260,20
1516,1549,480,1380,15
1403,1916,540,1140,10
954,2488,660,1320,30
2852,220,480,1020,5
1449,1049,0,1440,15
